airline,confirmedDate,destination,forwarderCode,origin,status,tenant
XX,06.07.2019,KHI,GGG,CDG,CONFIRMED,XX
XX,22.07.2019,CMN,GGG,GOT,CONFIRMED,XX
XX,06.07.2019,MUX,GGG,OPO,CONFIRMED,XX
XX,14.11.2019,CPH,GGG,COK,CONFIRMED,XX
XX,23.01.2020,DSS,GGG,DME,CONFIRMED,XX
XX,06.07.2019,TRV,GGG,HAN,CONFIRMED,XX
XX,06.07.2019,NGO,GGG,MCO,CONFIRMED,XX
XX,06.07.2019,SEA,GGG,BLQ,CONFIRMED,XX
XX,06.07.2019,GIG,GGG,MMX,CONFIRMED,XX
XX,06.07.2019,DAR,GGG,PER,CONFIRMED,XX
XX,20.03.2020,DFW,GGG,BLL,CONFIRMED,XX
XX,06.07.2019,ARN,GGG,GVA,CONFIRMED,XX
XX,12.12.2019,MEX,GGG,RUH,CONFIRMED,XX
XX,06.07.2019,MAA,GGG,ABJ,CONFIRMED,XX
XX,06.07.2019,HKT,GGG,EDI,CONFIRMED,XX
XX,23.01.2020,DME,GGG,ZRH,CONFIRMED,XX
XX,06.07.2019,ZAZ,GGG,VIE,CONFIRMED,XX
XX,06.07.2019,ZAZ,GGG,JIB,CONFIRMED,XX
XX,06.07.2019,NCL,GGG,GVA,CONFIRMED,XX
XX,06.07.2019,KBP,GGG,CCJ,CONFIRMED,XX
XX,30.10.2019,ORD,GGG,UIO,CONFIRMED,XX
XX,06.07.2019,IST,GGG,DUS,CONFIRMED,XX
XX,06.07.2019,DMM,GGG,VCE,CONFIRMED,XX
XX,06.07.2019,LAD,GGG,ICN,CONFIRMED,XX
XX,06.07.2019,CKY,GGG,PXX,CONFIRMED,XX
XX,06.07.2019,PVG,GGG,JNB,CONFIRMED,XX
XX,06.07.2019,DUR,GGG,DPS,CONFIRMED,XX
XX,06.07.2019,PVG,GGG,KAN,CONFIRMED,XX
XX,04.03.2020,SGN,GGG,PEN,CONFIRMED,XX
XX,06.07.2019,LCK,GGG,DAR,CONFIRMED,XX
XX,06.07.2019,CCU,GGG,LAD,CONFIRMED,XX
XX,06.07.2019,KAN,GGG,DUS,CONFIRMED,XX
XX,06.07.2019,BRU,GGG,SCL,CONFIRMED,XX
XX,06.07.2019,KWI,GGG,LYS,CONFIRMED,XX
XX,06.07.2019,LCA,GGG,ADL,CONFIRMED,XX
XX,06.07.2019,MAA,GGG,JIB,CONFIRMED,XX
XX,14.02.2020,SEA,GGG,OSL,CONFIRMED,XX
XX,06.07.2019,WAW,GGG,LIS,CONFIRMED,XX
XX,06.07.2019,KHI,GGG,IAD,CONFIRMED,XX
XX,06.07.2019,MRU,GGG,ALG,CONFIRMED,XX
XX,06.07.2019,BEY,GGG,BSR,CONFIRMED,XX
XX,06.07.2019,VCP,GGG,LGW,CONFIRMED,XX
XX,06.07.2019,SKT,GGG,COK,CONFIRMED,XX
XX,22.07.2019,ISB,GGG,CMN,CONFIRMED,XX
XX,06.07.2019,CRK,GGG,CKY,CONFIRMED,XX
XX,06.07.2019,DEL,GGG,LOS,CONFIRMED,XX
XX,06.07.2019,IST,GGG,OUA,CONFIRMED,XX
XX,06.07.2019,GLA,GGG,DAR,CONFIRMED,XX
XX,06.07.2019,MAA,GGG,KWI,CONFIRMED,XX
XX,29.07.2019,SCL,GGG,MEL,CONFIRMED,XX
XX,06.07.2019,ICN,GGG,SAW,CONFIRMED,XX
XX,06.07.2019,NCL,GGG,PRG,CONFIRMED,XX
XX,06.07.2019,FCO,GGG,OUA,CONFIRMED,XX
XX,04.03.2020,GOT,GGG,PEN,CONFIRMED,XX
XX,06.07.2019,CKY,GGG,BGW,CONFIRMED,XX
XX,22.07.2019,CMN,GGG,TUN,CONFIRMED,XX
XX,06.07.2019,DUS,GGG,BLL,CONFIRMED,XX
XX,06.07.2019,BOS,GGG,CPT,CONFIRMED,XX
XX,06.07.2019,MEX,GGG,DMM,CONFIRMED,XX
XX,14.11.2019,CPH,GGG,NCL,CONFIRMED,XX
XX,06.07.2019,VCE,GGG,MED,CONFIRMED,XX
XX,10.01.2020,LNZ,GGG,KHI,CONFIRMED,XX
XX,06.07.2019,BOS,GGG,CKY,CONFIRMED,XX
XX,14.11.2019,NCE,GGG,DAC,CONFIRMED,XX
XX,06.07.2019,FLL,GGG,NRT,CONFIRMED,XX
XX,06.07.2019,NRT,GGG,DPS,CONFIRMED,XX
XX,06.07.2019,MAA,GGG,EBB,CONFIRMED,XX
XX,06.07.2019,DSS,GGG,WAW,CONFIRMED,XX
XX,06.07.2019,BKK,GGG,ACC,CONFIRMED,XX
XX,22.07.2019,LOS,GGG,CMN,CONFIRMED,XX
XX,14.11.2019,CGP,GGG,VCE,CONFIRMED,XX
XX,06.07.2019,MLA,GGG,IST,CONFIRMED,XX
XX,06.07.2019,BCN,GGG,ISB,CONFIRMED,XX
XX,25.10.2019,DSS,GGG,DUB,CONFIRMED,XX
XX,06.07.2019,AUH,GGG,EZE,CONFIRMED,XX
XX,06.03.2020,HRE,GGG,BAH,CONFIRMED,XX
XX,12.12.2019,STN,GGG,RUH,CONFIRMED,XX
XX,06.07.2019,NGO,GGG,BKK,CONFIRMED,XX
XX,06.07.2019,VCE,GGG,DPS,CONFIRMED,XX
XX,06.03.2020,BAH,GGG,CDG,CONFIRMED,XX
XX,06.07.2019,HEL,GGG,BUD,CONFIRMED,XX
XX,30.10.2019,ORD,GGG,EZE,CONFIRMED,XX
XX,25.10.2019,YYZ,GGG,MUX,CONFIRMED,XX
XX,06.07.2019,CMB,GGG,EWR,CONFIRMED,XX
XX,06.07.2019,HRE,GGG,SEZ,CONFIRMED,XX
XX,06.07.2019,MRU,GGG,DUS,CONFIRMED,XX
XX,06.07.2019,VCE,GGG,HND,CONFIRMED,XX
XX,06.07.2019,BLR,GGG,SFO,CONFIRMED,XX
XX,06.07.2019,CAN,GGG,SAW,CONFIRMED,XX
XX,06.07.2019,EBB,GGG,ATL,CONFIRMED,XX
XX,12.12.2019,VCP,GGG,SYD,CONFIRMED,XX
XX,23.01.2020,DME,GGG,BHX,CONFIRMED,XX
XX,06.07.2019,LUN,GGG,AGT,CONFIRMED,XX
XX,12.12.2019,DAC,GGG,SYD,CONFIRMED,XX
XX,06.07.2019,LUN,GGG,ARN,CONFIRMED,XX
XX,06.07.2019,BGW,GGG,CAN,CONFIRMED,XX
XX,06.07.2019,CGK,GGG,LCK,CONFIRMED,XX
XX,06.07.2019,GIG,GGG,TRV,CONFIRMED,XX
XX,06.07.2019,OUA,GGG,KHI,CONFIRMED,XX
XX,06.07.2019,CPT,GGG,LCK,CONFIRMED,XX
XX,06.07.2019,VCE,GGG,RGN,CONFIRMED,XX
XX,06.07.2019,SEZ,GGG,MAA,CONFIRMED,XX
XX,06.07.2019,HAM,GGG,HRE,CONFIRMED,XX
XX,06.07.2019,LOS,GGG,BHX,CONFIRMED,XX
XX,06.07.2019,ALG,GGG,DUR,CONFIRMED,XX
XX,06.07.2019,DSS,GGG,JNB,CONFIRMED,XX
