airline,confirmedDate,destination,forwarderCode,origin,status,tenant
XX,06.07.2019,KHI,FFF,CDG,CONFIRMED,XX
XX,22.07.2019,CMN,FFF,GOT,CONFIRMED,XX
XX,06.07.2019,MUX,FFF,OPO,CONFIRMED,XX
XX,14.11.2019,CPH,FFF,COK,CONFIRMED,XX
XX,23.01.2020,DSS,FFF,DME,CONFIRMED,XX
XX,06.07.2019,TRV,FFF,HAN,CONFIRMED,XX
XX,06.07.2019,NGO,FFF,MCO,CONFIRMED,XX
XX,06.07.2019,SEA,FFF,BLQ,CONFIRMED,XX
XX,06.07.2019,GIG,FFF,MMX,CONFIRMED,XX
XX,06.07.2019,DAR,FFF,PER,CONFIRMED,XX
XX,20.03.2020,DFW,FFF,BLL,CONFIRMED,XX
XX,06.07.2019,ARN,FFF,GVA,CONFIRMED,XX
XX,12.12.2019,MEX,FFF,RUH,CONFIRMED,XX
XX,06.07.2019,MAA,FFF,ABJ,CONFIRMED,XX
XX,06.07.2019,HKT,FFF,EDI,CONFIRMED,XX
XX,23.01.2020,DME,FFF,ZRH,CONFIRMED,XX
XX,06.07.2019,ZAZ,FFF,VIE,CONFIRMED,XX
XX,06.07.2019,ZAZ,FFF,JIB,CONFIRMED,XX
XX,06.07.2019,NCL,FFF,GVA,CONFIRMED,XX
XX,06.07.2019,KBP,FFF,CCJ,CONFIRMED,XX
XX,30.10.2019,ORD,FFF,UIO,CONFIRMED,XX
XX,06.07.2019,IST,FFF,DUS,CONFIRMED,XX
XX,06.07.2019,DMM,FFF,VCE,CONFIRMED,XX
XX,06.07.2019,LAD,FFF,ICN,CONFIRMED,XX
XX,06.07.2019,CKY,FFF,PEK,CONFIRMED,XX
XX,06.07.2019,PVG,FFF,JNB,CONFIRMED,XX
XX,06.07.2019,DUR,FFF,DPS,CONFIRMED,XX
XX,06.07.2019,PVG,FFF,KAN,CONFIRMED,XX
XX,04.03.2020,SGN,FFF,PEN,CONFIRMED,XX
XX,06.07.2019,LCK,FFF,DAR,CONFIRMED,XX
XX,06.07.2019,CCU,FFF,LAD,CONFIRMED,XX
XX,06.07.2019,KAN,FFF,DUS,CONFIRMED,XX
XX,06.07.2019,BRU,FFF,SCL,CONFIRMED,XX
XX,06.07.2019,KWI,FFF,LYS,CONFIRMED,XX
XX,06.07.2019,LCA,FFF,ADL,CONFIRMED,XX
XX,06.07.2019,MAA,FFF,JIB,CONFIRMED,XX
XX,14.02.2020,SEA,FFF,OSL,CONFIRMED,XX
XX,06.07.2019,WAW,FFF,LIS,CONFIRMED,XX
XX,06.07.2019,KHI,FFF,IAD,CONFIRMED,XX
XX,06.07.2019,MRU,FFF,ALG,CONFIRMED,XX
XX,06.07.2019,BEY,FFF,BSR,CONFIRMED,XX
XX,06.07.2019,VCP,FFF,LGW,CONFIRMED,XX
XX,06.07.2019,SKT,FFF,COK,CONFIRMED,XX
XX,22.07.2019,ISB,FFF,CMN,CONFIRMED,XX
XX,06.07.2019,CRK,FFF,CKY,CONFIRMED,XX
XX,06.07.2019,DEL,FFF,LOS,CONFIRMED,XX
XX,06.07.2019,IST,FFF,OUA,CONFIRMED,XX
